epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,155.316,0.3474,0.55458,0.93067,0.90476,1,0.995,0.9293,0.4097,0.45382,0.78592,0.000191875,0.000191875,0.000191875
44,159.599,0.37473,0.57473,0.94395,0.90088,1,0.995,0.92153,0.42084,0.46507,0.80156,0.000181563,0.000181563,0.000181563
45,162.918,0.33043,0.51933,0.91418,0.90456,1,0.995,0.90896,0.40083,0.46457,0.7926,0.00017125,0.00017125,0.00017125
46,165.826,0.35225,0.53773,0.94118,0.94751,0.9626,0.995,0.90886,0.38368,0.4444,0.77334,0.000160938,0.000160938,0.000160938
47,168.785,0.34588,0.5427,0.92983,0.9345,0.98956,0.995,0.92839,0.36753,0.42609,0.75988,0.000150625,0.000150625,0.000150625
48,172.616,0.34684,0.58766,0.94828,0.88676,1,0.995,0.93117,0.36012,0.4285,0.75492,0.000140313,0.000140313,0.000140313
49,176.272,0.34856,0.53194,0.93261,0.88466,1,0.995,0.92364,0.36542,0.42011,0.76504,0.00013,0.00013,0.00013
50,179.274,0.35329,0.55029,0.94111,0.91201,1,0.995,0.91674,0.37099,0.40076,0.77965,0.000119688,0.000119688,0.000119688
51,183.551,0.3283,0.83173,0.98673,0.85534,1,0.995,0.90904,0.37076,0.47426,0.78642,0.000109375,0.000109375,0.000109375
52,187.62,0.3582,0.81606,1.02986,0.85372,0.94959,0.995,0.9258,0.37254,0.55919,0.78136,9.90625e-05,9.90625e-05,9.90625e-05
53,190.853,0.32779,0.81611,0.96988,0.92951,0.94015,0.995,0.92637,0.37337,0.57593,0.78232,8.875e-05,8.875e-05,8.875e-05
54,193.566,0.32282,0.79492,1.02785,0.93678,1,0.995,0.93522,0.3325,0.43218,0.72948,7.84375e-05,7.84375e-05,7.84375e-05
55,196.431,0.29168,0.69868,0.98117,0.91307,1,0.995,0.94296,0.3105,0.43841,0.70683,6.8125e-05,6.8125e-05,6.8125e-05
56,199.607,0.29093,0.6795,0.9911,0.88196,1,0.995,0.93617,0.29534,0.39777,0.69862,5.78125e-05,5.78125e-05,5.78125e-05
57,203.493,0.30224,0.67626,0.99502,0.8733,1,0.995,0.94126,0.28618,0.38458,0.68995,4.75e-05,4.75e-05,4.75e-05
58,206.277,0.27842,0.6599,0.98217,0.88099,1,0.995,0.93449,0.28617,0.37292,0.68806,3.71875e-05,3.71875e-05,3.71875e-05
59,209.016,0.28369,0.67117,0.98979,0.89573,1,0.995,0.93111,0.28379,0.37229,0.68341,2.6875e-05,2.6875e-05,2.6875e-05
60,211.742,0.27985,0.61956,0.99771,0.90196,1,0.995,0.93093,0.28485,0.37815,0.68281,1.65625e-05,1.65625e-05,1.65625e-05
