epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,172.128,0.42723,0.42875,0.9574,0.99269,1,0.995,0.92841,0.40037,0.32724,0.93934,0.000511769,0.000511769,0.000511769
44,176.858,0.39951,0.39249,0.95659,0.99374,1,0.995,0.91431,0.4207,0.31812,0.94254,0.000484263,0.000484263,0.000484263
45,180.531,0.40662,0.41014,0.93569,0.99073,1,0.995,0.92664,0.41086,0.31383,0.92976,0.000456758,0.000456758,0.000456758
46,183.909,0.40193,0.36995,0.95399,0.99164,1,0.995,0.93398,0.37085,0.30441,0.89843,0.000429253,0.000429253,0.000429253
47,187.444,0.40342,0.38414,0.95796,0.98801,1,0.995,0.91784,0.41207,0.32931,0.92772,0.000401747,0.000401747,0.000401747
48,192.106,0.40074,0.37856,0.94911,0.98961,1,0.995,0.92224,0.42609,0.32509,0.94367,0.000374242,0.000374242,0.000374242
49,195.628,0.40364,0.37866,0.94944,0.99063,1,0.995,0.91621,0.43771,0.33235,0.95603,0.000346736,0.000346736,0.000346736
50,198.943,0.37325,0.34636,0.94062,0.99226,1,0.995,0.93823,0.41902,0.31517,0.94228,0.000319231,0.000319231,0.000319231
51,205.346,0.34539,0.58148,1.01004,0.99055,1,0.995,0.93937,0.39579,0.35264,0.93346,0.000291725,0.000291725,0.000291725
52,208.724,0.29936,0.44226,0.97406,0.9905,1,0.995,0.93128,0.39988,0.38404,0.94561,0.00026422,0.00026422,0.00026422
53,211.846,0.30658,0.43434,0.96812,0.99492,1,0.995,0.9552,0.33568,0.30056,0.90042,0.000236714,0.000236714,0.000236714
54,214.957,0.26772,0.36737,0.93886,0.99428,1,0.995,0.95927,0.33143,0.28585,0.88339,0.000209209,0.000209209,0.000209209
55,219.387,0.29091,0.36737,0.96716,0.99421,1,0.995,0.93845,0.36671,0.29765,0.89987,0.000181703,0.000181703,0.000181703
56,222.891,0.26908,0.39206,0.96717,0.99405,1,0.995,0.95806,0.33337,0.27157,0.87751,0.000154198,0.000154198,0.000154198
57,226.082,0.25577,0.38127,0.93781,0.99407,1,0.995,0.9684,0.32575,0.25344,0.87062,0.000126692,0.000126692,0.000126692
58,229.283,0.24643,0.33514,0.93603,0.99445,1,0.995,0.96338,0.32882,0.25617,0.87254,9.91865e-05,9.91865e-05,9.91865e-05
59,233.366,0.24607,0.33319,0.92668,0.9941,1,0.995,0.97484,0.31903,0.24871,0.86161,7.1681e-05,7.1681e-05,7.1681e-05
60,236.995,0.25744,0.33265,0.92116,0.99449,1,0.995,0.96967,0.31084,0.24075,0.85178,4.41755e-05,4.41755e-05,4.41755e-05
